phrase,meaning_zh,scene,context_en,target_sentence,context_zh,usage_note
follow up,跟进,client communication,"The client asked for more details after the demo, but no one replied immediately. I promised to follow up with a clear summary before the end of the day.",I promised to follow up with a clear summary before the end of the day.,客户在演示后要求更多细节，但没人马上回复。我承诺在当天结束前跟进并发送清晰总结。,follow up 常用于邮件、会议、销售、客户沟通后的后续跟进。
follow up,追查结果,project tracking,"The bug was reported last week, but the status was still unclear. The project manager asked me to follow up with the testing team.",The project manager asked me to follow up with the testing team.,这个 bug 上周已经报告了，但状态仍不清楚。项目经理让我和测试团队追查进展。,follow up with someone 表示向某人跟进情况。
check in,确认进度,team management,The developer was working on a difficult task alone. I checked in with him in the afternoon to see whether he needed help.,I checked in with him in the afternoon to see whether he needed help.,那位开发人员独自处理一个困难任务。我下午和他确认进度，看看他是否需要帮助。,check in with someone 常用于关心进度、状态或困难。
check in,登记/报到,conference or office visit,"When we arrived at the client’s office, we had to check in at reception before going upstairs.",We had to check in at reception before going upstairs.,我们到达客户办公室后，必须先在前台登记，然后才能上楼。,check in 也可表示在前台、酒店、会议处登记。
touch base,简短沟通,team communication,We had not spoken since the requirements changed. I suggested a quick call to touch base before we started development.,I suggested a quick call to touch base before we started development.,需求变更后我们还没有沟通过。我建议在开始开发前简单通个电话。,touch base 表示短暂沟通、同步一下。
touch base,重新联系,relationship maintenance,"The account manager had been away for two weeks. After returning, she touched base with every major customer.",She touched base with every major customer.,客户经理离开了两周。回来后，她和每个重要客户重新联系了一下。,常用于维护客户、同事、合作伙伴关系。
get back to,回复某人,email communication,"I did not have the answer during the meeting, so I told the client I would get back to them after checking with the team.",I told the client I would get back to them after checking with the team.,会议中我没有答案，所以我告诉客户我会和团队确认后回复他们。,get back to someone 是职场邮件和会议中非常常见的回复表达。
get back to,回到某项工作,task switching,"After the urgent production issue was fixed, I got back to the report I had started in the morning.",I got back to the report I had started in the morning.,紧急生产问题修好后，我回到早上开始写的报告。,get back to something 表示重新回到某项任务。
reach out,联系,professional networking,"The new supplier looked promising, so our procurement manager reached out to ask for a quotation.",Our procurement manager reached out to ask for a quotation.,这家新供应商看起来不错，所以我们的采购经理联系他们询价。,reach out 表示主动联系，语气比 contact 更自然。
reach out,寻求帮助,internal support,"I was unsure about the deployment process, so I reached out to the DevOps team for guidance.",I reached out to the DevOps team for guidance.,我不确定部署流程，所以向 DevOps 团队寻求指导。,reach out to someone for help 表示向某人求助。
set up,安排,meeting planning,"The client wanted to discuss the new requirements, so I set up a meeting for Friday morning.",I set up a meeting for Friday morning.,客户想讨论新需求，所以我安排了周五上午的会议。,set up a meeting/call 表示安排会议或电话。
set up,配置/建立,technical work,"Before testing the API, we set up a separate environment with test data.",We set up a separate environment with test data.,测试 API 前，我们配置了一个带测试数据的独立环境。,set up 也常用于配置系统、环境、账户或工具。
kick off,启动项目/会议,project start,The team kicked off the new migration project with a short planning session.,The team kicked off the new migration project with a short planning session.,团队通过一个简短的计划会议启动了新的迁移项目。,kick off 常用于项目、会议、活动开始。
kick off,以某事开始,meeting agenda,The manager kicked off the meeting by reviewing last week’s progress.,The manager kicked off the meeting by reviewing last week’s progress.,经理通过回顾上周进度开始了会议。,kick off by doing something 表示以某事作为开始。
